               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08026,            0.031291,                   0,             0.37277,             0.45166,             0.33697,             0.10142,            0.058545,            0.019043,                   0,            0.070045,           0.0033283,           0.0033283
                   1,            0.060469,            0.021938,                   0,             0.57888,             0.56959,             0.55902,             0.18853,            0.053226,            0.017591,                   0,            0.039979,           0.0065957,           0.0065957
                   2,             0.05763,            0.020861,                   0,             0.62001,             0.57168,              0.5798,             0.20562,             0.05069,            0.017706,                   0,            0.009847,           0.0097971,           0.0097971
                   3,            0.054944,            0.020992,                   0,             0.67654,             0.57781,             0.60789,             0.22101,            0.049667,            0.017868,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.052316,            0.020959,                   0,             0.66507,             0.62624,             0.64868,             0.23092,            0.047906,            0.016949,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.05058,            0.019988,                   0,             0.72341,             0.68517,             0.71852,             0.28868,             0.04626,            0.016336,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.049926,            0.019433,                   0,             0.70338,             0.66271,             0.69607,             0.27246,            0.046666,            0.016584,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.048534,            0.019537,                   0,             0.75536,             0.67956,             0.74077,             0.30486,            0.045242,            0.016092,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.048131,            0.018899,                   0,             0.73599,             0.63766,              0.7014,             0.28396,            0.045536,            0.016548,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.047538,            0.018892,                   0,             0.71255,             0.68738,             0.72029,             0.29746,            0.045274,            0.016065,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.047076,            0.018642,                   0,             0.72541,             0.68877,             0.73291,             0.30324,            0.045322,            0.015891,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.046681,            0.018645,                   0,             0.71081,             0.71181,             0.73314,             0.30632,            0.044423,            0.015826,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.046219,            0.018531,                   0,              0.7441,             0.67864,             0.72938,             0.31325,            0.044324,            0.015974,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.046025,            0.018234,                   0,             0.74699,             0.69323,             0.74954,             0.31276,            0.044852,            0.015663,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.045295,            0.018493,                   0,             0.74888,             0.71271,             0.76674,             0.32774,            0.043751,            0.015631,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.045081,            0.017907,                   0,             0.76554,             0.67587,              0.7438,             0.31913,             0.04425,            0.015609,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.044793,            0.017921,                   0,             0.77537,             0.71501,             0.77821,             0.33738,             0.04321,            0.015394,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.04418,            0.018308,                   0,             0.75878,             0.70396,             0.75741,             0.31803,            0.044406,            0.015609,                   0,            0.008416,            0.008416,            0.008416
