               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  18,            0.044237,            0.017908,                   0,             0.73467,             0.70442,             0.75205,             0.32185,            0.044244,            0.015441,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.043602,            0.017705,                   0,             0.72658,             0.73899,             0.77783,             0.34047,            0.043261,             0.01537,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.043512,            0.017761,                   0,             0.76172,              0.7325,             0.77737,             0.33883,            0.043071,            0.015338,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.04394,            0.017244,                   0,             0.75181,             0.71405,             0.77288,              0.3335,            0.043445,            0.015415,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.043252,             0.01754,                   0,             0.75836,             0.73259,             0.78283,             0.34437,            0.043298,            0.015229,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.042799,            0.017111,                   0,             0.75154,             0.71547,              0.7734,             0.33283,            0.043229,            0.015315,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.043082,             0.01702,                   0,             0.75496,             0.70994,               0.769,             0.33593,            0.043695,            0.015247,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.042503,            0.017196,                   0,             0.76962,             0.69475,             0.76639,             0.33882,            0.043206,             0.01532,                   0,            0.007624,            0.007624,            0.007624
                  26,              0.0423,            0.017201,                   0,             0.74376,             0.72698,               0.768,             0.33964,            0.043015,            0.015463,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.041827,            0.016887,                   0,             0.74039,             0.74401,             0.78149,             0.34678,            0.042582,            0.015437,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.041916,            0.016795,                   0,             0.73046,             0.73489,             0.78154,             0.34275,            0.043401,            0.015384,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.041718,            0.016825,                   0,             0.74848,             0.73301,             0.78763,             0.34757,            0.042819,            0.015176,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.04133,            0.016512,                   0,             0.75138,             0.73887,             0.79264,             0.35025,            0.042602,            0.015283,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.041158,            0.016742,                   0,             0.73959,             0.76842,             0.79188,             0.34941,            0.042893,            0.015185,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.041131,            0.016457,                   0,              0.7096,              0.7695,             0.77306,             0.34109,            0.043038,             0.01535,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.04085,            0.016689,                   0,             0.75857,             0.73051,             0.78373,             0.35484,            0.042648,            0.015405,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.040887,            0.017068,                   0,             0.75328,             0.72674,             0.78976,             0.35433,            0.042836,            0.015382,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.040645,            0.016642,                   0,             0.75131,              0.7302,             0.78534,             0.35635,            0.042555,            0.015227,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.040026,            0.016819,                   0,             0.72636,             0.74724,             0.77999,             0.34754,            0.042744,            0.015459,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.040172,            0.016623,                   0,             0.73342,             0.76632,              0.7921,             0.35751,            0.042833,            0.015342,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.039633,            0.016472,                   0,             0.75211,             0.72974,             0.78804,             0.35117,            0.042766,            0.015276,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.039689,            0.016449,                   0,             0.73476,             0.75783,             0.79311,             0.35821,            0.042778,            0.015253,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.04026,            0.016444,                   0,             0.76115,             0.71304,             0.78684,             0.35863,            0.042548,            0.015283,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.039462,             0.01625,                   0,             0.72543,             0.76427,             0.78941,             0.35137,            0.042719,             0.01529,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.039303,            0.016217,                   0,             0.76286,             0.74309,             0.79766,             0.36069,            0.042665,            0.015273,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.039358,             0.01617,                   0,             0.73084,             0.76657,             0.78553,             0.35651,            0.042868,            0.015357,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.038855,            0.015895,                   0,             0.76616,             0.72105,             0.78584,             0.35498,             0.04273,            0.015398,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.039009,            0.015992,                   0,             0.72405,             0.77315,             0.78544,             0.35248,            0.043072,            0.015508,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.038995,            0.015934,                   0,             0.73574,             0.75276,             0.78768,             0.35425,            0.042792,            0.015448,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.038585,            0.015833,                   0,             0.72405,             0.76519,             0.78697,             0.35005,            0.042906,            0.015412,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.038495,            0.015676,                   0,             0.74705,             0.77072,             0.79574,             0.35854,            0.042719,            0.015436,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.03827,            0.015357,                   0,             0.73001,             0.75314,             0.78982,             0.35274,            0.042898,            0.015463,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.038172,            0.015661,                   0,             0.78372,             0.72407,             0.79684,             0.35942,            0.042776,            0.015424,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.038013,            0.015863,                   0,             0.76018,             0.75645,             0.79889,             0.35732,            0.042648,            0.015354,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.037702,            0.015839,                   0,             0.80228,             0.73418,             0.80402,              0.3618,            0.042654,            0.015404,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.037729,            0.015546,                   0,             0.73379,             0.79098,              0.8008,             0.36132,            0.042725,            0.015422,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.037656,            0.015479,                   0,              0.7373,             0.76625,             0.79009,             0.35632,            0.042941,            0.015511,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.036945,            0.015579,                   0,             0.73272,             0.75981,             0.79082,             0.35589,            0.042796,            0.015621,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.03733,            0.015442,                   0,             0.74553,             0.77118,             0.80178,             0.36023,            0.042796,            0.015416,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.036788,            0.015214,                   0,             0.75587,             0.75552,              0.7985,             0.36007,            0.042598,            0.015409,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.037029,            0.015408,                   0,             0.76651,             0.73987,             0.79775,             0.36119,            0.042651,            0.015569,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.036872,            0.015291,                   0,              0.7396,             0.76762,             0.79779,             0.36278,            0.042915,            0.015463,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.036406,            0.015345,                   0,             0.72237,             0.78466,             0.79656,             0.36173,            0.042457,            0.015598,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.035925,            0.015478,                   0,             0.73131,             0.77694,             0.79329,             0.36253,            0.042548,            0.015583,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.03647,            0.015086,                   0,             0.72737,             0.77394,             0.79602,             0.36256,            0.042505,            0.015571,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.036213,            0.015371,                   0,             0.71549,              0.7966,              0.7946,             0.36084,            0.042445,            0.015623,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.036178,            0.015282,                   0,             0.71256,             0.78067,             0.78177,              0.3574,             0.04275,            0.015601,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.035739,            0.015184,                   0,              0.7246,             0.78377,             0.79271,             0.36078,            0.042732,            0.015719,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.03551,            0.014875,                   0,             0.74618,             0.74355,             0.79285,             0.36069,             0.04283,             0.01581,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.035342,            0.014459,                   0,             0.72554,             0.76677,             0.78995,             0.35956,            0.042673,            0.015746,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.035269,            0.015052,                   0,             0.77497,             0.72778,             0.79714,             0.36223,            0.042786,            0.015704,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.035018,            0.014694,                   0,             0.73293,             0.77199,             0.79279,             0.36077,            0.043002,            0.015739,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.034393,            0.014938,                   0,             0.72783,             0.76519,             0.78799,             0.35774,            0.043005,            0.015838,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.03472,            0.014449,                   0,             0.72876,             0.77684,             0.79238,             0.35656,            0.042979,            0.015903,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.034325,            0.014521,                   0,             0.72941,             0.77901,             0.80279,             0.36208,            0.042825,            0.015893,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.034526,            0.014645,                   0,             0.72026,             0.78361,             0.79222,             0.36243,            0.042913,            0.015903,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.033931,            0.014289,                   0,             0.73305,             0.78258,             0.80011,             0.36237,            0.043081,            0.015896,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.033759,             0.01433,                   0,              0.7157,             0.79162,             0.79478,             0.36019,             0.04303,             0.01581,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.033752,            0.014252,                   0,             0.72768,             0.77716,             0.79001,             0.35498,            0.043172,            0.016009,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.03366,            0.014364,                   0,             0.74067,             0.76565,             0.79394,             0.35422,            0.043237,            0.016089,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.03309,             0.01412,                   0,             0.72404,             0.75691,             0.78319,             0.35191,            0.043439,            0.016352,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.032904,             0.01433,                   0,             0.71759,             0.77302,             0.78118,             0.34914,            0.043389,            0.016314,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.032833,            0.014212,                   0,             0.72308,             0.76581,              0.7813,              0.3534,            0.043486,            0.016386,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.03285,            0.014215,                   0,             0.72947,             0.76335,             0.78514,             0.35345,            0.043412,            0.016383,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.032603,            0.014006,                   0,              0.7189,             0.77901,              0.7886,             0.35567,            0.043275,            0.016325,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.03224,            0.014127,                   0,             0.71237,             0.78225,             0.78203,             0.35544,            0.043371,            0.016425,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.03204,            0.014029,                   0,              0.7278,             0.76938,             0.78653,             0.35827,            0.043236,            0.016237,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.03239,            0.014249,                   0,             0.71974,             0.78153,             0.78726,             0.35538,            0.043534,            0.016316,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.031695,            0.013997,                   0,             0.72514,             0.77739,             0.78716,             0.35193,            0.043627,            0.016468,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.031755,            0.013843,                   0,             0.70913,              0.7857,             0.77922,             0.35073,            0.043614,              0.0165,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.031663,            0.013878,                   0,             0.71725,             0.78368,             0.78561,             0.35418,              0.0434,            0.016464,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.031253,            0.013888,                   0,             0.72863,             0.78039,             0.78553,             0.35576,            0.043392,            0.016511,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.030926,            0.013515,                   0,             0.72719,              0.7767,               0.789,             0.35378,            0.043613,            0.016633,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.031074,            0.013426,                   0,             0.71595,             0.78796,             0.78559,             0.35596,            0.043536,            0.016673,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.030683,            0.013089,                   0,             0.71991,             0.78315,             0.78609,             0.35316,            0.043686,             0.01676,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.030601,            0.013296,                   0,             0.72217,             0.78148,             0.78424,             0.35398,            0.043677,            0.016707,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.030411,            0.013547,                   0,             0.76499,             0.73619,             0.78453,             0.35407,            0.043592,            0.016721,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.030132,            0.013508,                   0,             0.71454,              0.7871,             0.78335,             0.35174,            0.043694,            0.016856,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.030218,            0.013282,                   0,             0.72397,             0.78006,             0.77976,             0.35112,            0.043721,            0.016933,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.029696,            0.013295,                   0,             0.72164,             0.77855,             0.77856,             0.35209,            0.043769,            0.016967,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.029597,            0.013329,                   0,             0.72013,             0.79282,             0.78138,             0.35098,            0.043833,            0.016962,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.029159,             0.01291,                   0,             0.72181,             0.78821,             0.77911,             0.35137,            0.043802,            0.017031,                   0,            0.000298,            0.000298,            0.000298
