               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.037289,            0.013039,                   0,             0.76364,             0.76703,             0.81115,             0.37462,             0.04163,            0.012274,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.037223,            0.013047,                   0,             0.80153,              0.7512,             0.81566,             0.38181,             0.04128,            0.012223,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.036637,            0.012908,                   0,             0.77108,             0.76766,             0.80296,              0.3711,             0.04172,             0.01234,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.036356,            0.012824,                   0,             0.79385,             0.75552,             0.81287,             0.37662,            0.041457,            0.012303,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.036392,            0.012688,                   0,             0.75399,             0.78637,             0.80901,             0.37543,            0.041654,            0.012302,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.03574,            0.012363,                   0,             0.75027,              0.7926,             0.81445,             0.37982,            0.041506,              0.0124,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.035882,            0.012521,                   0,             0.76577,             0.77072,              0.8121,             0.37775,            0.041564,            0.012325,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.035466,            0.012426,                   0,              0.7729,             0.76464,             0.80841,             0.38105,            0.041283,            0.012345,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.035242,            0.012381,                   0,             0.77509,             0.76611,             0.80986,             0.38119,            0.041093,             0.01234,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.034951,            0.012197,                   0,             0.78976,             0.74678,             0.80802,             0.38104,            0.041278,            0.012421,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.034841,            0.011934,                   0,              0.8031,             0.74363,             0.81172,             0.38307,            0.041277,            0.012331,                   0,            0.000496,            0.000496,            0.000496
